ID,TARGET
1154270440,1
1147987574,0
1129622364,0
619797496,0
7391484886,0
10165219189,0
741382912,1
1130214814,0
78018389,0
75592880,1
1148114087,0
1127182550,1
1389719965,0
132955230,1
121208304,1
55887278,0
1147122590,0
1378226366,1
1433985624,2
1150610679,0
1147676750,0
1148190337,0
1392576319,1
1398864197,1
1129839899,1
1408021808,0
1148017175,1
345336837,1
369442637,1
6405058408,1
3151488250,0
1150080054,1
1148102072,1
1380252351,0
6448346949,1
6435392625,0
1149159698,1
1154227938,0
632762770,1
1446874849,0
1153926929,1
7426755515,1
6377649940,0
1149203833,1
1151199731,1
1152562934,1
1152591525,1
132847243,1
6397842294,0
6397557852,2
1425237833,2
438504201,1
632842011,1
1139474831,1
1153957998,1
1030773558,1
632999486,0
1153928358,0
1154265733,1
637151602,1
7399942108,0
499826213,2
734441518,1
6164987266,0
1025595344,0
1053577654,1
77736350,1
1152687879,1
1059907552,1
1152362603,1
1150220086,0
627918368,1
1020138498,1
634379004,1
5409812465,1
10139218330,1
7220406234,1
515752774,1
1021967070,1
107240146,0
1143500763,2
640076500,0
10152023109,0
627920508,1
1050780459,1
3424757922,0
361491376,1
727207708,0
734685065,1
6165078647,1
1056087321,0
734771440,0
1029962359,2
1146523752,0
1032476449,0
1152370646,1
1137672269,0
1152894103,1
1153866326,1
1153623926,0
1152362098,0
3116495178,1
10439599984,1
1131069683,0
3151529401,0
1033391776,1
634872823,1
525061515,1
1021953555,1
124845766,2
365734923,1
1153082731,0
1150012161,1
334970752,1
176097325,1
132067393,0
46148802,0
819223673,0
3151633152,1
1153223724,2
570899581,1
3114598996,0
3112815111,1
563180603,1
335256436,2
5110691353,0
361473858,0
5114988613,1
1410857454,0
338016835,0
1132479594,1
131775794,1
1150719304,0
3114091921,1
1147145856,1
567153607,0
1134650157,0
5445344063,1
1152438031,1
590849069,1
118419181,0
644179228,1
643148424,1
1145182286,1
1037852707,1
468907532,0
627373544,1
648100365,1
65839978,0
633244039,1
810333680,1
636229061,0
648083566,1
633933410,1
1148690967,0
633862561,0
819748686,1
640201457,0
713155642,1
384534469,1
648017814,1
814598953,1
624163147,1
1020798516,1
87652404,0
714290462,1
1029167595,2
712207293,1
109397370,0
712754592,0
74635895,1
732143035,0
1154209851,1
645438740,1
85044442,0
751946212,0
643615278,1
435326567,1
1010485816,1
810496230,1
818905117,0
1133759521,0
1153592663,1
106112582,1
3151812230,1
88183164,1
4395663824,1
1148653210,1
1380679726,2
1010722602,0
723996004,1
1146421130,1
1130229691,0
1139485594,0
1147607999,0
79336999,1
733137626,1
751634788,0
1132595485,1
1402459359,1
1127395753,1
565344807,0
115937932,0
117727893,1
1129411326,2
111026039,1
1144642448,1
1154019604,1
1148723198,0
376108790,0
322299644,1
610152461,0
19005573,0
107291231,0
1153566067,1
1027371295,0
1152306787,1
10451853694,2
10448932684,0
1153864963,0
1153873842,0
7430422623,1
7400925801,1
622544323,0
1153383230,0
7412421800,1
1153956764,1
1053513107,0
748602780,1
636833803,0
1152303134,1
1409295902,1
732220567,1
7394092536,1
7433538322,1
734126714,0
759776736,0
561889064,1
1042369626,0
5389332480,1
7403594793,1
5389120099,0
1142252972,0
334864123,1
3151653136,1
637216072,1
7387265993,1
7299255289,0
1050247664,2
1045868360,2
3109783543,1
1403011244,2
1149200314,0
1149086117,0
1154187007,1
1061488743,1
1144897877,1
1154164073,0
1146375924,0
1152904589,0
636853739,1
1020333217,2
648980459,1
3393303591,1
337256576,1
5428067742,0
633444121,1
1133793276,2
333377691,0
7445390071,1
1149873980,0
1438848753,1
3408568260,1
1164678107,0
1414219022,0
3394523977,1
1151121926,0
323039347,1
346189263,0
365775609,1
831373392,0
5385068047,0
1154222943,0
5409492408,0
510603382,0
1138092696,1
1153192985,0
10151980718,0
1069829967,1
518301092,1
1153179172,1
596146549,0
1220969947,2
1152425908,1
1407608905,0
636571881,0
640195794,1
641310636,0
1035200977,2
612312573,0
470251274,2
4105699534,0
1144244863,2
643829105,0
635714846,1
638040410,1
610857040,1
636138938,2
632987537,1
10447613544,1
823886635,1
819858125,0
819560777,0
89934204,0
810482240,1
620329248,1
713164938,0
363757535,1
639807487,0
108834907,1
732309314,1
645431856,1
636142140,2
642991975,0
1013583067,1
634073976,1
1014364046,1
754041571,1
624155912,1
642097767,1
74679302,0
1016581205,1
123029672,1
1010326726,0
810369749,0
1419672880,1
3434185666,2
811792969,1
814358764,2
3300267925,1
434035933,2
1395989573,0
4434032627,2
491949348,1
1153751776,1
1033207660,1
1154207262,1
1145532856,1
1154264335,1
1154298399,0
7394506170,0
10452570992,0
76991911,0
760496048,0
1034515588,0
1051437032,1
3152134567,0
1410135924,0
1144716782,0
1144027388,1
1138003309,1
1131902859,1
1164928549,0
1143090678,1
359992327,1
3425520264,1
123386518,1
123378378,1
1134529461,1
1154287912,1
124480289,0
1138963229,0
6441099978,1
1154266545,1
1152895244,1
1153489595,0
1153926447,0
636958500,1
1153900862,1
734771334,0
1410546026,1
717051277,1
7438938642,0
6406063437,0
1150976671,1
10393765470,1
7410328779,1
1147316462,1
448810322,1
1402384388,1
1146558902,1
1153922025,1
105363926,2
1151039723,2
742363784,1
7427702100,1
725105573,1
628946300,0
10446936645,0
750882339,1
648548107,0
1033310793,0
515792884,0
6396815688,1
1154275391,1
640226687,1
360622676,2
3424413006,1
121194710,1
10432908242,1
3411749186,0
1145819890,1
1135941525,2
1036838070,2
1154252441,1
1154174941,0
634376173,1
346188128,1
10154391062,1
1152585811,1
1125132138,2
1033936162,1
1146430464,0
1011398615,0
1038268856,0
634142419,1
5123241829,1
1037715907,0
574956239,1
1413356378,1
1153051762,1
5116884572,0
366962358,1
10151396830,1
713544291,0
1154283725,0
1065735790,1
3104524270,0
1420241019,1
564380157,1
3151441283,0
333649912,0
599665369,0
87919425,1
1145970503,0
5124100679,0
1032007954,2
121204221,1
1153870697,0
584957698,1
120835598,1
5115121812,1
5396291388,0
563909407,1
334925762,1
580618711,0
1149090846,1
1152798504,2
760352716,0
7417562836,1
7296583633,1
732148544,0
616685828,0
465444100,0
1153145044,1
452064468,1
1045729229,0
8299385257,0
642402915,0
615266718,0
639470759,1
746026213,1
634870218,1
1019751159,1
3409335468,1
335304365,1
713896975,1
87577723,1
647573685,0
742537857,0
817672221,1
65839616,1
633668761,1
635770689,0
634636096,1
86169400,0
713166674,1
623046579,1
8213036493,0
630447247,1
1414239576,0
1010084284,0
125233687,0
449961145,0
450201551,0
1012859007,0
820802001,0
85821574,1
817420254,1
86817959,1
1010823837,2
819025916,1
10445715690,0
8165067996,1
816558843,0
429072045,0
1143633491,0
1154332922,0
76995899,0
1152301599,1
77698928,1
725591245,0
1428703649,0
116982954,1
1144034471,0
146165540,0
